gene,cancer_type,tumor_expression,survival_association,geo_validation,depmap_dependency,normal_tissue_safety,mutation_cna_support,novelty_score,notes
MKI67,GBM,positive,negative,partial,strong,moderate,weak,low,Proliferation marker; strong biological signal but low novelty.
MLH1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MLH1 in Adrenocortical carcinoma; pathway context: Mismatch repair / MSI.
MSH2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH2 in Adrenocortical carcinoma; pathway context: Mismatch repair / MSI.
MSH6,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: MSH6 in Adrenocortical carcinoma; pathway context: Mismatch repair / MSI.
MSLN,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MSLN in Adrenocortical carcinoma; pathway context: Tumor antigen / adhesion.
MTOR,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: MTOR in Adrenocortical carcinoma; pathway context: PI3K-AKT-mTOR signaling.
MUC1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC1 in Adrenocortical carcinoma; pathway context: Epithelial antigen / mucin biology.
MUC16,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: MUC16 in Adrenocortical carcinoma; pathway context: Epithelial antigen / mucin biology.
MYC,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: MYC in Adrenocortical carcinoma; pathway context: MYC/proliferation program.
NECTIN4,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: NECTIN4 in Adrenocortical carcinoma; pathway context: Tumor antigen.
NFE2L2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NFE2L2 in Adrenocortical carcinoma; pathway context: Oxidative stress / NRF2.
NOTCH1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: NOTCH1 in Adrenocortical carcinoma; pathway context: Notch signaling.
NOTCH2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NOTCH2 in Adrenocortical carcinoma; pathway context: Notch signaling.
NRAS,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: NRAS in Adrenocortical carcinoma; pathway context: RAS-MAPK signaling.
PALB2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PALB2 in Adrenocortical carcinoma; pathway context: DNA repair / HRD.
PDCD1LG2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: PDCD1LG2 in Adrenocortical carcinoma; pathway context: Immune checkpoint.
PIK3CA,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: PIK3CA in Adrenocortical carcinoma; pathway context: PI3K-AKT signaling.
PIK3R1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: PIK3R1 in Adrenocortical carcinoma; pathway context: PI3K-AKT signaling.
PMS2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PMS2 in Adrenocortical carcinoma; pathway context: Mismatch repair / MSI.
PRKAR1A,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: PRKAR1A in Adrenocortical carcinoma; pathway context: Cancer-associated pathway context.
PTEN,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: PTEN in Adrenocortical carcinoma; pathway context: PI3K-AKT signaling.
RAD51,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RAD51 in Adrenocortical carcinoma; pathway context: DNA repair / HRD.
RB1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: RB1 in Adrenocortical carcinoma; pathway context: Cell cycle.
SMAD4,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMAD4 in Adrenocortical carcinoma; pathway context: TGF-beta signaling.
SMARCA4,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCA4 in Adrenocortical carcinoma; pathway context: Chromatin remodeling.
SMARCB1,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: SMARCB1 in Adrenocortical carcinoma; pathway context: Chromatin remodeling.
TERT,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: TERT in Adrenocortical carcinoma; pathway context: Telomere maintenance.
TGFBR2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TGFBR2 in Adrenocortical carcinoma; pathway context: TGF-beta signaling.
TP53,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: TP53 in Adrenocortical carcinoma; pathway context: Tumor-suppressor pathway.
TROP2,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: TROP2 in Adrenocortical carcinoma; pathway context: Tumor antigen.
VEGFA,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: VEGFA in Adrenocortical carcinoma; pathway context: Angiogenesis / microenvironment.
ZNRF3,Adrenocortical carcinoma,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: ZNRF3 in Adrenocortical carcinoma; pathway context: Cancer-associated pathway context.
AKT1,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: AKT1 in Bladder cancer; pathway context: PI3K-AKT signaling.
APC,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: APC in Bladder cancer; pathway context: WNT signaling.
ARID1A,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1A in Bladder cancer; pathway context: Chromatin remodeling.
ARID1B,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1B in Bladder cancer; pathway context: Chromatin remodeling.
ATM,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ATM in Bladder cancer; pathway context: DNA damage response.
ATR,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ATR in Bladder cancer; pathway context: DNA damage response.
B2M,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: B2M in Bladder cancer; pathway context: Antigen presentation.
BRAF,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BRAF in Bladder cancer; pathway context: MAPK signaling.
BRCA1,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA1 in Bladder cancer; pathway context: DNA repair / HRD.
BRCA2,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA2 in Bladder cancer; pathway context: DNA repair / HRD.
CCND1,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CCND1 in Bladder cancer; pathway context: Cell cycle.
CD274,Bladder cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD274 in Bladder cancer; pathway context: Immune checkpoint.
CD276,Bladder cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD276 in Bladder cancer; pathway context: Immune checkpoint / tumor antigen.
CDK4,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK4 in Bladder cancer; pathway context: Cell cycle.
CDK6,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK6 in Bladder cancer; pathway context: Cell cycle.
CDKN2A,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2A in Bladder cancer; pathway context: Cell cycle.
CDKN2B,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CDKN2B in Bladder cancer; pathway context: Cell cycle.
CHEK1,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CHEK1 in Bladder cancer; pathway context: DNA damage response.
CHEK2,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: CHEK2 in Bladder cancer; pathway context: DNA damage response.
CLDN18,Bladder cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CLDN18 in Bladder cancer; pathway context: Epithelial antigen / tight junction.
CREBBP,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: CREBBP in Bladder cancer; pathway context: Epigenetic regulation.
CTNNB1,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CTNNB1 in Bladder cancer; pathway context: WNT signaling.
EGFR,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: EGFR in Bladder cancer; pathway context: RTK signaling.
EP300,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: EP300 in Bladder cancer; pathway context: Epigenetic regulation.
EPCAM,Bladder cancer,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: EPCAM in Bladder cancer; pathway context: Epithelial antigen / adhesion.
ERBB2,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB2 in Bladder cancer; pathway context: RTK signaling.
ERBB3,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ERBB3 in Bladder cancer; pathway context: RTK signaling.
FBXW7,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: FBXW7 in Bladder cancer; pathway context: Protein turnover.
FGFR3,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: FGFR3 in Bladder cancer; pathway context: RTK signaling.
HIF1A,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: HIF1A in Bladder cancer; pathway context: Hypoxia / angiogenesis.
HRAS,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: HRAS in Bladder cancer; pathway context: RAS-MAPK signaling.
JAK1,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK1 in Bladder cancer; pathway context: JAK-STAT / immune signaling.
JAK2,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: JAK2 in Bladder cancer; pathway context: JAK-STAT / immune signaling.
KDM6A,Bladder cancer,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: KDM6A in Bladder cancer; pathway context: Cancer-associated pathway context.
